Item Description,Branch,Date
G8 VARIANT ELUTION BUFFER 3 10X800ML G8 G8 VARAIANT 10X800ML,Delhi,28-03-2025
TROPONIN-I PLUS - 25 TEST - ICHROMA iChroma II ICHROMA™ II 25 Test,Delhi,28-03-2025
Giems stain  IODINE,Delhi,28-03-2025
SODIUM METABISULPHATE 500 GMS  GENERAL 500GGMS,Delhi,28-03-2025
Falcon tubes,Delhi,28-03-2025
FORMALDEHYDE DRL CONSUMABLES FINAR 5 LTRS,Delhi,28-03-2025
UTI / CLED AGAR,Delhi,28-03-2025
SHEEP BLOOD AGAR PLATE ---------- VIBLES 20 PLATES,Delhi,28-03-2025
ABX WHITE DIFF (CBP) 1 L YUMIZEN H550 Horiba HORIBA 1,Delhi,28-03-2025
Isopropyle alcohol,Delhi,28-03-2025
G8 VARIANT ELUTION BUFFER 1 10X800ML G8 G8 VARAIANT 10X800ML,Delhi,28-03-2025
G8 VARIANT ELUTION BUFFER 2 10X800ML G8 G8 VARAIANT 10X800ML,Delhi,28-03-2025
WASH SOLUTION G8 G8 VARAIANT 2 X 4 litres,Delhi,28-03-2025
Thermal printer paper 57MM,Delhi,28-03-2025
LBC KITS  DNA XPERT 1,Delhi,28-03-2025
4880293214 CLEANCELL M ---------- ROCHE 1,Delhi,28-03-2025
URINE STRIPS,Hyderabad,28-03-2025
ANTI DS DNA,Hyderabad,28-03-2025
ABX CLEANER,Bangalore,28-03-2025
ABX DIFFTROL HIGH,Bangalore,28-03-2025
ABX DIFFTROL LOW,Bangalore,28-03-2025
ABX DIFFTROL NORMAL,Bangalore,28-03-2025
ABX DILUENT,Bangalore,28-03-2025
ABX MINOCLAIR,Bangalore,28-03-2025
ABX WHITEDIFF,Bangalore,28-03-2025
CFAS CALSET,Bangalore,28-03-2025
CFAS PROTEINS,Bangalore,28-03-2025
IRON STANDARD(FE STANADRD),Bangalore,28-03-2025
CFAS LIPID,Bangalore,28-03-2025
CFAS PUC,Bangalore,28-03-2025
CORTISOL,Bangalore,28-03-2025
ESTRADIOL,Bangalore,28-03-2025
FERRITIN ,Bangalore,28-03-2025
PROG,Bangalore,28-03-2025
PROLACTIN,Bangalore,28-03-2025
HCG BETA,Bangalore,28-03-2025
CA2,Bangalore,28-03-2025
CHOL,Bangalore,28-03-2025
CREAJ,Bangalore,28-03-2025
